127.0.0.1 - - [15/Jun/2024:16:09:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:09:59 +0530] "GET /JavaServletPractical/index.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:09:59 +0530] "GET /JavaServletPractical/scripts.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:09:59 +0530] "GET /JavaServletPractical/style.css HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:09:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:12:15 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:12:16 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:12:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:12:36 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:17 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:18 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:20 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:22 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:22 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:41 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:42 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:13:44 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:14:30 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:15:24 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:15:46 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:15:57 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:18:19 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:18:33 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:19:42 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:19:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:20:25 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [15/Jun/2024:16:20:50 +0530] "GET /AdvancedJava/bootstrap.jsp HTTP/1.1" 200 3420
