0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:09:49 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:09:49 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:17:11 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:17:11 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:21:33 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:21:33 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:22:11 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:22:12 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:23:02 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:23:02 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:23:50 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:23:50 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:24:26 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [01/Jun/2024:10:24:26 +0530] "GET /AdvancedJava/index.js HTTP/1.1" 200 1348
