127.0.0.1 - - [18/May/2024:09:05:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/May/2024:09:05:21 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [18/May/2024:09:05:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/May/2024:09:09:37 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [18/May/2024:09:10:48 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [18/May/2024:09:11:27 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [18/May/2024:09:15:17 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [18/May/2024:09:15:40 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [18/May/2024:09:15:41 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [18/May/2024:09:18:12 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:18:13 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [18/May/2024:09:20:56 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:20:56 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [18/May/2024:09:32:34 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:32:34 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [18/May/2024:09:33:20 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:33:20 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [18/May/2024:09:34:39 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:34:40 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [18/May/2024:09:35:11 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:35:12 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [18/May/2024:09:43:20 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:43:21 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [18/May/2024:09:49:44 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:49:44 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [18/May/2024:09:53:54 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:53:54 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [18/May/2024:09:54:32 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:54:32 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [18/May/2024:09:58:42 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:58:42 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [18/May/2024:09:59:19 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:09:59:20 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [18/May/2024:10:00:22 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:10:00:23 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [18/May/2024:10:02:06 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:10:02:06 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [18/May/2024:10:02:30 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:10:02:30 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [18/May/2024:10:04:38 +0530] "GET /AdvancedJava/test.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/May/2024:10:04:38 +0530] "GET /AdvancedJava/script.js HTTP/1.1" 200 305
