127.0.0.1 - - [28/May/2024:09:11:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2024:09:11:22 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [28/May/2024:09:11:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/May/2024:09:13:48 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [28/May/2024:09:14:28 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [28/May/2024:09:14:28 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [28/May/2024:09:16:45 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [28/May/2024:09:16:46 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:09:21:45 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [28/May/2024:09:21:45 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [28/May/2024:09:22:49 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [28/May/2024:09:22:50 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [28/May/2024:09:31:07 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [28/May/2024:09:31:07 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [28/May/2024:09:31:16 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [28/May/2024:09:31:16 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:09:31:21 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [28/May/2024:09:31:21 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:09:32:31 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [28/May/2024:09:32:31 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [28/May/2024:09:32:43 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [28/May/2024:09:32:44 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:09:32:50 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [28/May/2024:09:32:51 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:09:34:27 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [28/May/2024:09:34:27 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [28/May/2024:09:43:10 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [28/May/2024:09:43:10 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [28/May/2024:09:43:39 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [28/May/2024:09:43:40 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [28/May/2024:09:43:40 +0530] "GET /AdvancedJava/jsdom.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [28/May/2024:09:43:40 +0530] "GET /AdvancedJava/jsdom.js HTTP/1.1" 304 -
